id,name,lat,lng,country,city,iata
5007,Hao Airport,-18.0748,-140.945999,PF,Otepa,HOI
5008,Maupiti Airport,-16.42650032043457,-152.24400329589844,PF,,MAU
5009,Raiatea Airport,-16.7229,-151.466003,PF,Uturoa,RFP
35158,Gaua Island Airport,-14.218099594099998,167.587005615,VU,Gaua Island,ZGU
5010,Santo Pekoa International Airport,-15.505000114399998,167.220001221,VU,Luganville,SON
5012,Tanna Airport,-19.45509910583496,169.2239990234375,VU,,TAH
32439,Tiga Airport,-21.096099853515625,167.8040008544922,NC,Tiga,TGJ
30778,Île Art - Waala Airport,-19.720521,163.661077,NC,Waala,BMY
5013,Koné Airport,-21.053551,164.838768,NC,Koné,KNQ
5014,Île des Pins Airport,-22.588899612426758,167.45599365234375,NC,Île des Pins,ILP
5015,Koumac Airport,-20.546323,164.255648,NC,Koumac,KOC
5016,Lifou Airport,-20.774799346923828,167.24000549316406,NC,Lifou,LIF
5018,Maré Airport,-21.481700897216797,168.03799438476562,NC,Maré,MEE
5019,Touho Airport,-20.790127,165.259524,NC,Touho,TOU
5020,Ouvéa Airport,-20.640600204467773,166.572998046875,NC,Ouvéa,UVE
5021,La Tontouta International Airport,-22.014601,166.212997,NC,Nouméa (La Tontouta),NOU
5024,Taupo Airport,-38.73970031738281,176.08399963378906,NZ,Taupo,TUO
5027,Chatham Islands / Tuuta Airport,-43.81189,-176.46514,NZ,Te One,CHT
5028,Dunedin International Airport,-45.928101,170.197998,NZ,Dunedin,DUD
5030,Gisborne Airport,-38.663299560546875,177.97799682617188,NZ,Gisborne,GIS
5032,Hokitika Airfield,-42.713600158691406,170.98500061035156,NZ,,HKK
5033,Hamilton International Airport,-37.8666992188,175.332000732,NZ,Hamilton,HLZ
5036,Kerikeri Airport,-35.259148,173.913317,NZ,Kerikeri,KKE
5037,Kaitaia Airport,-35.069837,173.287053,NZ,Awanui,KAT
5042,New Plymouth Airport,-39.00859832763672,174.1790008544922,NZ,New Plymouth,NPL
5043,Hawke's Bay Airport,-39.465801,176.869995,NZ,Napier,NPE
5044,Nelson Airport,-41.298302,173.220993,NZ,Nelson,NSN
5045,Invercargill Airport,-46.41239929199219,168.31300354003906,NZ,Invercargill,IVC
5047,Oamaru Airport,-44.970001220703125,171.08200073242188,NZ,,OAM
5049,Palmerston North Airport,-40.32059860229492,175.61700439453125,NZ,,PMR
5051,Queenstown International Airport,-45.021099,168.738998,NZ,Queenstown,ZQN
5052,Rotorua Regional Airport,-38.10919952392578,176.31700134277344,NZ,Rotorua,ROT
5055,Tauranga Airport,-37.67190170288086,176.1959991455078,NZ,Tauranga,TRG
5056,Timaru Airport,-44.302799224853516,171.22500610351562,NZ,,TIU
